NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
70006001;AILLEVILLERS;47.915000;6.338333;275;202401;95.4;1;31;;16.0;1;17;12;8;5;0;0;0;;;0;;;;6.6;1;31;;16.7;1;28;-3.9;1;13;5;0;0;0;31;31;0;-1.0;1;31;;-9.4;1;16;8.0;1;25;8;0;31;31;31;0;0;16;7.6;1;19.6;1;28;31;2.8;1;31;2.4;1;31;0;-5.4;1;13;10.0;1;24;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202402;126.7;1;29;;16.9;1;25;15;10;6;0;0;0;;;0;;;;10.7;1;29;;15.9;1;15;6.4;1;3;0;0;0;0;29;29;0;4.1;1;29;;-3.3;1;29;8.6;1;9;0;0;29;29;29;0;0;1;6.6;1;14.8;1;29;29;7.4;1;29;7.0;1;29;0;3.5;1;3;10.7;1;9;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202403;131.7;1;31;;30.0;1;31;18;9;5;1;0;0;;;0;;;;14.0;1;31;;21.2;1;22;7.3;1;27;0;0;0;0;29;31;0;3.5;1;31;;-2.4;1;8;9.1;1;18;0;0;31;31;31;0;0;2;10.5;1;18.5;1;20;31;8.7;1;31;8.5;1;31;0;5.3;1;27;13.9;1;21;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202404;92.4;1;30;;17.5;1;16;15;7;2;0;0;0;;;0;;;;16.1;1;30;;26.9;1;6;8.1;1;19;0;4;0;0;21;30;0;4.8;1;30;;-2.8;1;23;11.9;1;15;0;0;28;30;30;0;0;3;11.3;1;21.1;1;13;30;10.5;1;30;10.1;1;30;0;3.3;1;24;17.0;1;8;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202405;169.7;1;31;;23.0;1;2;18;12;9;0;0;0;;;0;;;;20.2;1;31;;27.3;1;11;12.7;1;2;0;5;0;0;14;30;0;9.0;1;31;;3.2;1;4;13.3;1;30;0;0;18;31;31;0;0;0;11.2;1;20.4;1;11;31;14.6;1;31;14.3;1;31;0;9.8;1;4;18.3;1;13;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202406;133.7;1;30;;33.1;1;29;14;8;4;1;0;0;;;0;;;;23.6;1;30;;32.0;1;29;17.6;1;30;0;11;3;0;9;22;1;12.0;1;30;;4.2;1;13;17.1;1;29;0;0;9;22;30;0;0;0;11.6;1;17.4;1;13;30;17.8;1;30;17.6;1;30;0;11.9;1;12;24.6;1;29;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202407;118.3;1;31;;36.1;1;6;13;9;2;1;0;0;;;0;;;;26.4;1;31;;34.2;1;30;16.8;1;3;0;19;8;0;3;17;4;13.9;1;31;;8.9;1;8;18.7;1;10;0;0;3;20;31;0;0;0;12.5;1;19.5;1;9;31;20.2;1;31;19.8;1;31;3;14.8;1;3;25.4;1;31;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202408;80.8;1;31;;19.3;1;13;6;5;4;0;0;0;;;0;;;;28.4;1;31;;35.1;1;12;20.3;1;18;0;26;10;1;0;11;5;14.3;1;31;;7.9;1;26;19.5;1;12;0;0;4;18;31;0;0;0;14.1;1;20.1;1;24;31;21.3;1;31;20.7;1;31;3;16.3;1;26;27.3;1;12;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202409;128.7;1;30;;26.4;1;7;15;9;4;0;0;0;;;0;;;;20.6;1;30;;32.1;1;1;13.0;1;11;0;6;2;0;17;26;1;10.7;1;30;;1.4;1;29;17.6;1;2;0;0;13;25;30;0;0;0;10.0;1;18.4;1;7;30;15.7;1;30;15.0;1;30;0;8.6;1;29;24.0;1;1;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202410;154.5;1;31;;82.5;1;7;12;6;4;1;1;0;;;0;;;;18.1;1;31;;23.7;1;16;11.1;1;31;0;0;0;0;22;31;0;8.2;1;31;;2.4;1;6;14.5;1;17;0;0;22;31;31;0;0;0;9.9;1;16.1;1;28;31;13.1;1;31;12.2;1;31;0;8.8;1;12;18.3;1;17;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
