NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
65001001;ADAST;42.972833;-0.072167;446;202401;37.4;1;31;;15.4;1;5;8;3;1;0;0;0;;;0;;;;14.1;1;31;;23.4;1;25;3.8;1;19;0;0;0;0;27;31;0;1.7;1;31;;-5.7;1;9;10.4;1;18;1;0;30;31;31;0;0;8;12.4;1;20.6;1;27;31;7.9;1;31;6.6;1;31;0;0.7;1;9;15.0;1;18;18;1;21;31;99;1;23;31;75;1;31;7.3;9;31;;;21.1;1;150;1;17;7;3;0;31;19.6;1;;0;16;6;2;0;30;13.3;1;150;9;16;4;2;0;31;1.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202402;122.2;1;29;;31.2;1;27;13;7;4;1;0;0;;;0;;;;14.9;1;29;;24.3;1;15;3.8;1;27;0;0;0;0;24;29;0;3.3;1;29;;-1.3;1;7;11.0;1;9;0;0;28;29;29;0;0;6;11.6;1;19.5;1;13;29;9.1;1;29;8.1;1;29;0;2.2;1;27;16.3;1;15;18;1;22;29;100;1;5;29;77;1;29;8.1;9;29;;;27.4;1;150;9;8;11;6;0;29;25.3;1;;0;8;10;4;0;28;16.7;1;150;1;9;8;4;2;28;2.1;1;29;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202403;115.0;1;31;;24.2;1;29;14;9;4;0;0;0;;;0;;;;16.4;1;31;;24.0;1;22;5.9;1;3;0;0;0;0;23;31;0;4.3;1;31;;-1.5;1;6;9.4;1;21;0;0;31;31;31;0;0;4;12.2;1;20.2;1;13;31;10.3;1;31;10.1;1;31;0;3.4;1;3;16.0;1;21;22;1;13;31;99;1;30;31;72;1;31;8.8;9;31;;;26.2;1;150;9;28;20;9;0;31;24.6;1;;0;28;16;8;0;31;15.6;1;150;1;9;12;10;2;31;3.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202404;39.2;1;30;;7.2;1;8;10;3;0;0;0;0;;;0;;;;18.7;1;30;;29.7;1;6;10.9;1;23;0;7;0;0;21;27;0;5.0;1;30;;-1.2;1;19;12.2;1;5;0;0;26;30;30;0;0;1;13.6;1;22.4;1;12;30;11.9;1;30;11.9;1;30;0;7.1;1;23;20.8;1;6;15;1;6;30;100;1;26;30;67;1;30;8.8;9;30;;;23.3;1;130;1;7;22;8;0;30;21.2;1;;0;7;18;8;0;30;12.9;1;150;1;2;9;8;0;30;2.7;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202405;105.2;1;31;;19.0;1;13;15;8;3;0;0;0;;;0;;;;19.3;1;31;;27.9;1;11;9.7;1;1;0;4;0;0;19;29;0;8.2;1;31;;1.4;1;3;14.6;1;30;0;0;24;31;31;0;0;0;11.1;1;20.5;1;10;31;13.8;1;31;13.6;1;31;0;8.3;1;1;18.6;1;11;31;1;10;31;100;1;22;31;79;1;31;12.0;9;31;;;14.4;1;140;1;4;20;0;0;31;13.3;1;;0;4;10;0;0;31;9.1;1;320;1;13;2;0;0;31;2.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202406;77.7;1;30;;32.0;1;20;11;5;2;1;0;0;;;0;;;;23.1;1;30;;31.3;1;26;16.5;1;20;0;11;1;0;10;22;0;13.0;1;30;;4.2;1;13;18.1;1;28;0;0;4;21;30;0;0;0;10.1;1;19.6;1;13;30;18.0;1;30;17.8;1;30;0;14.0;1;13;23.1;1;26;29;1;18;30;100;1;25;30;78;1;30;15.6;9;30;;;16.6;1;150;1;18;17;2;0;30;14.8;1;;0;18;11;0;0;29;10.3;1;150;1;20;6;1;0;29;2.0;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202407;39.6;1;31;;10.4;1;5;5;4;1;0;0;0;;;0;;;;26.3;1;31;;35.5;1;29;17.5;1;7;0;19;7;1;2;16;3;15.2;1;31;;9.8;1;4;20.1;1;19;0;0;1;16;30;1;0;0;11.1;1;17.9;1;18;31;20.8;1;31;20.8;1;31;6;15.1;1;7;26.9;1;29;27;1;31;31;100;1;24;31;77;1;31;18.6;9;31;;;21.8;1;280;1;30;13;1;0;31;19.0;1;;0;30;11;1;0;31;10.0;1;270;1;30;1;1;0;31;2.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202408;78.6;1;31;;22.6;1;31;9;6;4;0;0;0;;;0;;;;26.5;1;31;;36.1;1;11;19.4;1;14;0;18;5;2;1;18;2;15.6;1;31;;9.2;1;22;19.9;1;6;0;0;2;13;31;0;0;0;10.9;1;20.4;1;24;31;21.0;1;31;20.6;1;31;1;17.3;1;20;26.8;1;11;25;1;24;31;100;1;30;31;80;1;31;19.0;9;31;;;17.4;1;160;9;12;9;1;0;31;15.6;1;;0;12;4;0;0;29;8.6;1;190;1;24;2;0;0;30;1.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;1;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202409;118.5;1;30;;34.1;1;2;12;7;4;1;0;0;;;0;;;;20.7;1;30;;26.9;1;2;15.8;1;4;0;3;0;0;13;30;0;10.3;1;30;;2.4;1;15;17.5;1;1;0;0;12;27;30;0;0;0;10.4;1;18.4;1;29;30;15.5;1;30;15.1;1;30;0;11.4;1;15;21.4;1;1;24;1;29;30;100;1;30;30;83;1;30;14.2;9;30;;;20.9;1;140;1;26;10;2;0;30;19.1;1;;0;26;2;2;0;28;13.0;1;160;1;26;2;2;0;30;1.8;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
65001001;ADAST;42.972833;-0.072167;446;202410;201.3;1;31;;73.7;1;17;14;8;4;3;1;0;;;0;;;;20.4;1;31;;25.6;1;6;11.8;1;26;0;4;0;0;15;31;0;9.5;1;31;;4.2;1;5;15.7;1;7;0;0;18;28;31;0;0;0;10.9;1;19.4;1;5;31;15.0;1;31;14.5;1;31;0;10.0;1;27;20.3;1;9;25;1;5;31;100;1;31;31;83;1;31;13.4;9;31;;;27.7;1;170;1;9;11;6;0;31;24.6;1;;0;9;10;5;0;31;16.1;1;160;1;9;8;6;1;31;2.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;0;9;0;9;;0;0;0;;;
