NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
36001001;AIGURANDE;46.436167;1.822500;427;202401;72.7;1;31;;18.7;1;3;15;3;2;0;0;0;;;0;;;;7.6;1;31;;17.8;1;28;-2.3;1;9;3;0;0;0;31;31;0;1.9;1;31;;-6.1;1;20;9.7;1;24;4;0;31;31;31;0;0;12;5.7;1;13.2;1;16;31;4.8;1;31;4.6;1;31;0;-2.8;1;10;11.9;1;29;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202402;93.3;1;29;;15.8;1;26;17;8;2;0;0;0;;;0;;;;9.9;1;29;;19.7;1;15;5.0;1;27;0;0;0;0;29;29;0;4.6;1;29;;1.4;1;28;10.1;1;15;0;0;28;29;29;0;0;0;5.3;1;11.1;1;21;29;7.3;1;29;6.9;1;29;0;3.8;1;3;14.9;1;15;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202403;133.9;1;31;;49.5;1;29;15;8;4;1;0;0;;;0;;;;13.3;1;31;;21.3;1;20;6.4;1;3;0;0;0;0;29;31;0;5.2;1;31;;-0.9;1;4;10.3;1;18;0;0;30;31;31;0;0;1;8.1;1;12.7;1;22;31;9.3;1;31;8.7;1;31;0;4.7;1;4;15.5;1;20;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202404;90.7;1;30;;25.7;1;8;13;6;3;0;0;0;;;0;;;;16.0;1;30;;28.3;1;6;9.3;1;24;0;2;0;0;23;29;0;6.4;1;30;;-0.6;1;22;14.9;1;6;0;0;25;30;30;0;0;2;9.7;1;13.4;1;6;30;11.2;1;30;10.5;1;30;0;4.8;1;22;21.6;1;6;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202405;189.9;1;31;;23.5;1;1;22;14;8;0;0;0;;;0;;;;17.6;1;31;;26.3;1;11;11.7;1;1;0;1;0;0;26;31;0;9.3;1;31;;5.0;1;3;13.7;1;12;0;0;21;31;31;0;0;0;8.2;1;13.5;1;25;31;13.5;1;31;12.7;1;31;0;9.1;1;3;19.9;1;11;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202406;149.3;1;30;;34.6;1;20;16;7;5;1;0;0;;;0;;;;21.7;1;30;;30.1;1;26;12.2;1;2;0;7;1;0;13;26;0;12.5;1;30;;6.8;1;13;18.6;1;27;0;0;5;23;30;0;0;0;9.2;1;14.6;1;13;30;17.1;1;30;16.7;1;30;1;11.4;1;2;24.1;1;26;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202407;66.9;1;31;;21.4;1;5;9;4;2;0;0;0;;;0;;;;25.3;1;31;;34.1;1;30;18.3;1;6;0;15;5;0;4;21;3;14.8;1;31;;8.0;1;7;22.5;1;30;0;0;2;17;28;3;0;0;10.5;1;16.4;1;8;31;20.1;1;31;19.7;1;31;5;13.8;1;7;28.3;1;30;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202408;13.9;1;31;;10.8;1;17;2;1;1;0;0;0;;;0;;;;26.0;1;31;;33.6;1;11;17.6;1;18;0;19;5;0;1;17;1;14.9;1;31;;9.8;1;25;21.3;1;12;0;0;1;15;29;2;0;0;11.2;1;15.2;1;5;31;20.5;1;31;20.1;1;31;2;14.9;1;18;26.9;1;11;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202409;144.9;1;30;;38.9;1;6;15;9;5;1;0;0;;;0;;;;18.6;1;30;;26.0;1;2;14.3;1;11;0;1;0;0;22;30;0;11.1;1;30;;5.2;1;15;18.1;1;1;0;0;10;28;30;0;0;0;7.4;1;12.6;1;15;30;14.8;1;30;14.1;1;30;0;10.3;1;13;21.1;1;1;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
36001001;AIGURANDE;46.436167;1.822500;427;202410;151.9;1;31;;33.8;1;17;13;9;5;1;0;0;;;0;;;;17.9;1;31;;25.4;1;16;12.4;1;18;0;1;0;0;23;31;0;10.4;1;31;;5.0;1;5;15.5;1;15;0;0;15;30;31;0;0;0;7.5;1;11.7;1;28;31;14.1;1;31;13.4;1;31;0;10.0;1;4;20.1;1;16;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
