NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
27016001;LES ANDELYS;49.244667;1.412833;16;202401;72.3;1;31;;24.0;1;17;10;6;1;0;0;0;;;0;;;;8.0;1;31;;15.4;1;24;-0.2;1;8;2;0;0;0;31;31;0;1.1;1;31;;-9.2;1;19;10.9;1;24;4;0;30;31;31;0;0;16;7.0;1;18.6;1;21;31;4.5;1;31;4.2;1;31;0;-2.8;1;19;13.2;1;24;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;1;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202402;70.3;1;29;;13.9;1;25;14;5;3;0;0;0;;;0;;;;12.5;1;29;;19.6;1;15;8.0;1;26;0;0;0;0;29;29;0;6.7;1;29;;-0.6;1;13;11.4;1;8;0;0;24;29;29;0;0;2;5.9;1;12.7;1;13;29;9.6;1;29;9.4;1;29;0;5.4;1;2;13.9;1;15;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202403;57.2;1;31;;7.4;1;26;14;5;0;0;0;0;;;0;;;;14.7;1;31;;21.6;1;20;9.0;1;2;0;0;0;0;29;31;0;5.2;1;31;;-1.5;1;4;12.4;1;15;0;0;28;31;31;0;0;2;9.5;1;17.1;1;20;31;10.0;1;31;9.2;1;31;0;5.8;1;4;14.3;1;15;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202404;60.3;1;30;;14.5;1;27;14;3;1;0;0;0;;;0;;;;17.0;1;30;;26.7;1;13;12.1;1;20;0;1;0;0;23;30;0;6.5;1;30;;-1.3;1;23;12.6;1;5;0;0;23;30;30;0;0;1;10.4;1;17.9;1;13;30;11.8;1;30;11.4;1;30;0;6.3;1;23;17.8;1;13;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202405;95.9;1;31;;14.9;1;21;16;10;3;0;0;0;;;0;;;;20.5;1;31;;28.8;1;12;14.6;1;2;0;3;0;0;13;30;0;10.0;1;31;;5.4;1;9;14.6;1;26;0;0;15;31;31;0;0;0;10.5;1;18.5;1;12;31;15.2;1;31;14.8;1;31;0;11.0;1;8;19.6;1;12;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202406;36.6;1;30;;7.1;1;11;10;3;0;0;0;0;;;0;;;;22.7;1;30;;31.6;1;26;15.1;1;1;0;5;2;0;6;27;0;10.6;1;30;;4.6;1;12;15.7;1;27;0;0;12;28;30;0;0;0;12.1;1;18.1;1;24;30;16.7;1;30;16.5;1;30;0;11.9;1;12;23.3;1;26;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202407;81.5;1;31;;30.5;1;30;9;5;2;1;0;0;;;0;;;;25.8;1;31;;35.6;1;30;20.0;1;12;0;15;6;1;1;22;3;13.9;1;31;;7.5;1;7;19.6;1;31;0;0;3;20;31;0;0;0;11.9;1;18.7;1;29;31;19.8;1;31;19.4;1;31;2;15.3;1;7;26.8;1;30;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202408;55.6;1;31;;25.0;1;20;7;4;1;0;0;0;;;0;;;;26.4;1;31;;37.4;1;12;21.0;1;20;0;20;4;1;0;19;1;13.9;1;31;;8.5;1;26;19.3;1;1;0;0;4;20;31;0;0;0;12.5;1;20.0;1;28;31;20.2;1;31;19.6;1;31;2;16.3;1;25;27.9;1;12;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202409;77.8;1;30;;16.1;1;22;11;6;2;0;0;0;;;0;;;;21.0;1;30;;29.1;1;1;14.8;1;29;0;5;0;0;14;29;0;11.4;1;30;;3.4;1;29;18.2;1;3;0;0;8;24;30;0;0;0;9.5;1;16.8;1;15;30;16.2;1;30;15.5;1;30;0;9.1;1;29;23.4;1;1;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202410;62.8;1;31;;20.3;1;9;9;4;3;0;0;0;;;0;;;;17.9;1;31;;26.7;1;16;12.3;1;31;0;1;0;0;27;31;0;9.6;1;31;;3.1;1;5;15.1;1;17;0;0;15;30;31;0;0;0;8.3;1;16.0;1;5;31;13.8;1;31;13.0;1;31;0;10.0;1;12;20.6;1;16;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202411;63.3;1;30;;21.9;1;19;7;4;2;0;0;0;;;0;;;;11.6;1;30;;18.0;1;24;1.5;1;21;0;0;0;0;30;30;0;5.2;1;30;;-1.8;1;22;10.0;1;2;0;0;30;30;30;0;0;5;6.5;1;14.2;1;23;30;8.4;1;30;8.2;1;30;0;0.4;1;21;13.5;1;24;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;2;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202412;57.4;1;31;;11.9;1;7;11;5;2;0;0;0;;;0;;;;8.8;1;31;;15.0;1;18;2.7;1;27;0;0;0;0;31;31;0;4.4;1;31;;-0.3;1;27;9.2;1;16;0;0;31;31;31;0;0;2;4.4;1;9.8;1;1;31;6.6;1;31;6.6;1;31;0;1.2;1;27;11.0;1;18;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27016001;LES ANDELYS;49.244667;1.412833;16;202501;32.3;1;4;;19.1;1;1;3;2;2;0;0;0;;;0;;;;8.1;1;4;;11.7;1;4;4.1;1;3;0;0;0;0;4;4;0;0.6;1;4;;-4.5;1;4;6.3;1;1;0;0;4;4;4;0;0;2;7.5;1;16.2;1;4;4;4.3;1;4;2.4;1;4;0;1.1;1;3;8.7;1;1;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202401;76.6;1;31;;21.6;1;17;11;5;3;0;0;0;;;0;;;;6.9;1;31;;14.4;1;29;-2.9;1;9;4;0;0;0;31;31;0;0.8;1;31;;-8.9;1;20;10.5;1;24;5;0;30;31;31;0;0;16;6.2;1;15.5;1;21;31;3.9;1;31;3.8;1;31;0;-3.9;1;10;11.9;1;24;46;1;27;31;99;1;25;31;85;1;31;7.2;9;31;11.3;1;24.9;1;200;1;22;13;10;0;31;22.3;1;;0;22;12;7;0;30;12.3;1;220;1;22;10;8;0;31;3.9;1;31;4729;9;31;10;16;3;10913;9;31;;;0;;;0;;;;;;0;1;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202402;81.4;1;29;;19.8;1;25;15;5;3;0;0;0;;;0;;;;11.2;1;29;;17.9;1;15;6.5;1;26;0;0;0;0;29;29;0;6.5;1;29;;0.8;1;13;10.9;1;8;0;0;26;29;29;0;0;0;4.8;1;10.6;1;13;29;8.9;1;29;8.7;1;29;0;4.6;1;24;13.7;1;15;54;1;15;29;99;1;26;29;88;1;29;9.9;9;29;21.8;1;26.4;1;210;1;22;23;4;0;29;24.0;1;;0;22;20;2;0;29;15.7;1;260;1;22;8;2;1;29;4.2;1;29;2155;9;29;8;22;0;11720;9;29;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202403;78.8;1;31;;16.2;1;5;10;5;3;0;0;0;;;0;;;;12.8;1;31;;19.9;1;20;8.2;1;5;0;0;0;0;31;31;0;4.8;1;31;;-1.5;1;4;11.1;1;15;0;0;29;31;31;0;0;1;8.0;1;16.1;1;20;31;8.8;1;31;8.3;1;31;0;4.1;1;4;13.4;1;17;46;1;20;31;99;1;31;31;84;1;31;9.1;9;31;48.8;1;24.9;1;210;1;28;21;4;0;31;24.0;1;;0;28;20;3;0;31;12.6;1;200;1;28;8;2;0;30;3.6;1;31;6751;9;31;2;11;0;30034;9;31;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202404;60.4;1;30;;15.4;1;27;14;3;1;0;0;0;;;0;;;;14.9;1;30;;24.3;1;13;10.1;1;24;0;0;0;0;27;30;0;6.0;1;30;;-0.6;1;23;12.8;1;6;0;0;25;30;30;0;0;1;8.9;1;16.1;1;13;30;10.5;1;30;10.2;1;30;0;5.4;1;23;16.5;1;6;38;1;25;30;99;1;29;30;78;1;30;9.8;9;30;76.1;1;25.3;1;270;1;15;24;9;0;30;22.8;1;;0;15;20;4;0;30;12.4;1;300;1;15;12;4;0;30;3.9;1;30;8365;9;30;1;8;1;41630;9;30;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202405;132.4;1;31;;35.0;1;12;13;7;3;2;0;0;;;0;;;;18.2;1;31;;24.7;1;11;11.9;1;1;0;0;0;0;24;31;0;9.3;1;31;;4.7;1;4;13.2;1;29;0;0;20;31;31;0;0;0;8.9;1;14.8;1;12;31;13.8;1;31;13.4;1;31;0;10.4;1;4;17.4;1;11;36;1;11;31;100;1;20;31;83;1;31;12.6;9;31;98.2;1;20.7;1;310;1;30;18;2;0;31;19.5;1;;0;30;15;2;0;31;11.4;1;300;1;30;5;1;0;31;3.0;1;31;9756;9;31;1;9;3;52467;9;31;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202406;58.6;1;30;;24.9;1;18;10;2;2;0;0;0;;;0;;;;20.0;1;30;;27.8;1;26;14.4;1;1;0;3;0;0;17;28;0;9.9;1;30;;4.2;1;13;15.3;1;27;0;0;14;29;30;0;0;0;10.1;1;16.2;1;24;30;15.0;1;30;14.8;1;30;0;10.7;1;11;21.1;1;26;38;1;6;30;100;1;18;30;81;1;30;13.5;9;30;111.1;1;14.5;1;260;1;15;16;0;0;30;13.6;1;;0;15;11;0;0;30;9.1;1;330;1;10;2;0;0;30;2.9;1;30;12542;9;30;0;8;2;59142;9;30;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
27056003;BERNAY;49.101333;0.559833;166;202407;62.4;1;31;;13.8;1;31;9;5;3;0;0;0;;;0;;;;23.5;1;31;;33.9;1;30;18.7;1;3;0;8;4;0;10;25;2;12.8;1;31;;8.4;1;28;19.7;1;31;0;0;4;24;31;0;0;0;10.7;1;18.4;1;29;31;18.1;1;31;17.8;1;31;1;14.3;1;7;26.5;1;31;33;1;18;31;100;1;28;31;78;1;31;15.8;9;31;120.2;1;18.1;1;150;1;31;16;2;0;31;16.9;1;;0;31;11;2;0;31;9.6;1;140;1;31;2;0;0;31;2.8;1;31;11009;9;31;0;8;3;55996;9;31;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
