NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
67027001;BELMONT;48.406333;7.267167;1065;202401;137.4;1;31;;33.4;1;2;15;9;6;1;0;0;;;0;;;;3.0;1;31;;14.2;1;28;-8.2;1;8;7;0;0;0;31;31;0;-2.5;1;31;;-11.6;1;9;5.3;1;29;10;1;31;31;31;0;0;18;5.5;1;14.4;1;17;31;0.2;1;31;0.2;1;31;0;-8.8;1;8;8.5;1;28;9;1;28;31;100;1;31;31;84;1;31;5.3;9;31;;;33.9;1;230;1;2;26;17;4;31;30.4;1;;0;2;19;13;1;23;19.2;1;230;1;2;16;13;4;24;6.3;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202402;142.4;1;29;;35.4;1;7;16;9;5;1;0;0;;;0;;;;4.8;1;29;;12.1;1;15;0.1;1;24;0;0;0;0;29;29;0;1.2;1;29;;-2.6;1;24;6.4;1;16;0;0;29;29;29;0;0;6;3.6;1;8.1;1;5;29;3.0;1;29;2.9;1;29;0;-1.3;1;24;8.4;1;15;34;1;21;29;100;1;28;29;92;1;29;7.0;9;29;;;33.1;1;260;1;22;27;17;1;29;27.7;1;;0;22;24;10;0;27;17.2;1;250;1;22;22;15;1;28;6.5;1;29;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202403;124.8;1;31;;19.6;1;12;19;8;4;0;0;0;;;0;;;;7.3;1;31;;14.2;1;22;-0.2;1;24;1;0;0;0;31;31;0;2.0;1;31;;-2.9;1;25;6.2;1;21;0;0;31;31;31;0;0;9;5.3;1;9.6;1;14;31;4.7;1;31;4.5;1;31;0;-1.4;1;24;10.1;1;20;38;1;10;31;100;1;31;31;85;1;31;7.1;9;31;;;23.0;1;200;1;29;24;8;0;31;20.7;1;;0;29;17;2;0;25;12.3;1;220;1;29;13;3;0;26;4.6;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202404;117.5;1;30;;22.0;1;19;15;9;6;0;0;0;;;0;;;;8.9;1;30;;22.9;1;6;-0.3;1;22;3;0;0;0;27;30;0;2.9;1;30;;-4.3;1;23;11.3;1;8;0;0;26;30;30;0;0;11;6.0;1;12.2;1;30;30;5.9;1;30;5.9;1;30;0;-2.1;1;22;17.1;1;6;20;1;6;30;100;1;28;30;78;1;30;7.1;9;30;;;25.5;1;240;1;4;26;14;0;30;23.7;1;;0;4;20;12;0;24;13.5;1;250;1;15;14;10;0;24;5.2;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202405;192.1;1;31;;41.2;1;16;23;13;4;1;0;0;;;0;;;;13.0;1;31;;20.1;1;1;7.0;1;3;0;0;0;0;30;31;0;7.4;1;31;;3.4;1;3;12.6;1;1;0;0;26;31;31;0;0;0;5.6;1;9.2;1;28;31;10.2;1;31;9.7;1;31;0;5.2;1;3;16.4;1;1;34;1;1;31;100;1;31;31;86;1;31;10.1;9;31;;;20.8;1;220;9;4;25;6;0;31;19.1;1;;0;4;21;4;0;29;11.9;1;230;9;4;12;5;0;29;4.3;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202406;106.6;1;30;;22.8;1;1;14;7;4;0;0;0;;;0;;;;16.7;1;30;;26.5;1;29;11.0;1;12;0;1;0;0;25;30;0;10.1;1;30;;2.8;1;11;16.2;1;27;0;0;15;26;30;0;0;0;6.7;1;10.5;1;29;30;13.4;1;30;13.0;1;30;0;7.4;1;11;21.3;1;29;42;1;10;30;100;1;30;30;84;1;30;12.7;9;30;;;20.3;1;230;1;30;21;7;0;30;18.4;1;;0;30;19;4;0;30;11.4;1;230;1;30;11;6;0;30;4.1;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202407;150.9;1;31;;34.1;1;10;13;8;7;1;0;0;;;0;;;;19.1;1;31;;28.2;1;30;10.3;1;2;0;2;0;0;19;30;0;12.2;1;31;;6.9;1;7;19.7;1;31;0;0;10;24;31;0;0;0;7.0;1;11.2;1;8;31;15.6;1;31;15.3;1;31;1;8.8;1;2;23.0;1;30;26;1;30;31;100;1;28;31;80;1;31;13.9;9;31;;;24.7;1;240;1;15;19;4;0;31;20.8;1;;0;15;16;3;0;30;12.4;1;230;1;15;7;2;0;30;3.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202408;102.8;1;31;;34.8;1;1;7;5;4;1;0;0;;;0;;;;21.4;1;31;;27.4;1;13;14.0;1;18;0;6;0;0;11;29;0;13.9;1;31;;8.1;1;22;19.8;1;12;0;0;4;23;31;0;0;0;7.4;1;11.7;1;24;31;17.6;1;31;17.2;1;31;0;11.3;1;21;23.5;1;12;38;1;28;31;100;1;25;31;77;1;31;15.0;9;31;;;23.7;1;230;9;24;15;4;0;31;21.4;1;;0;24;12;3;0;31;14.2;1;230;9;24;6;3;0;31;3.4;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202409;159.1;1;30;;22.0;1;26;19;13;7;0;0;0;;;0;;;;13.6;1;30;;25.8;1;1;7.1;1;28;0;1;0;0;26;30;0;8.6;1;30;;2.6;1;13;15.8;1;3;0;0;20;28;30;0;0;0;5.0;1;10.4;1;1;30;11.1;1;30;10.8;1;30;0;5.0;1;13;20.6;1;1;45;1;21;30;100;1;30;30;91;1;30;11.9;9;30;;;30.9;1;190;1;26;24;11;1;30;28.2;1;;0;26;20;8;1;28;16.1;1;230;1;26;15;9;1;28;5.1;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202410;129.5;1;31;;47.9;1;7;16;6;4;1;0;0;;;0;;;;12.4;1;31;;17.9;1;16;5.5;1;3;0;0;0;0;31;31;0;7.5;1;31;;3.4;1;4;12.8;1;17;0;0;25;31;31;0;0;0;4.9;1;8.0;1;6;31;9.9;1;31;9.9;1;31;0;4.6;1;4;14.9;1;17;44;1;31;31;100;1;31;31;88;1;31;10.7;9;31;;;31.2;1;200;9;9;25;12;1;31;27.9;1;;0;9;22;8;0;31;17.1;1;220;9;9;14;9;2;31;4.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202411;109.2;1;30;;42.0;1;19;8;6;3;1;0;0;;;0;;;;7.1;1;30;;16.9;1;4;-3.1;1;21;3;0;0;0;30;30;0;1.5;1;30;;-7.2;1;22;9.6;1;4;2;0;30;30;30;0;0;13;5.6;1;12.9;1;3;30;4.3;1;30;4.1;1;30;0;-5.2;1;22;13.3;1;4;9;1;30;30;100;1;29;30;84;1;30;6.8;9;30;;;31.7;1;230;1;19;20;11;1;30;29.2;1;;0;19;15;8;1;25;16.7;1;230;1;19;11;6;2;25;5.2;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;1;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;202412;116.6;1;31;;30.0;1;21;11;7;4;1;0;0;;;0;;;;3.5;1;31;;11.7;1;30;-1.9;1;10;8;0;0;0;31;31;0;-1.2;1;31;;-5.1;1;5;5.4;1;1;1;0;31;31;31;0;0;24;4.7;1;13.0;1;30;31;1.1;1;31;1.0;1;31;0;-2.7;1;10;8.0;1;1;9;1;1;31;100;1;25;31;84;1;31;5.4;9;31;;;26.4;1;270;1;6;24;12;0;31;22.9;1;;0;6;14;7;0;20;13.7;1;240;1;22;12;7;0;20;5.2;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
